"COUNTRY_STATE","ADMIN_2","REGION","CATEGORY","MEASURE","TARGETED_POP_GROUP","COMMENTS","NON_COMPLIANCE","DATE_IMPLEMENTED","SOURCE","SOURCE_TYPE","LINK","ENTRY_DATE","ISO3166_1","LAST_UPDATED_DATE"
"Burkina Faso","","","Movement restrictions","International flights suspension","No","Ouagadougou International Airport and Bobo-Dioulasso Airport are closed to international commercial flights for two weeks.","Not applicable","2020-03-21 00:00:00.000000","Foreign Ministry — UK","Government","https://www.gov.uk/foreign-travel-advice/burkina-faso","2020-03-26 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Movement restrictions","Border closure ","No","Land borders and international rail are closed for two weeks","Not applicable","2020-03-21 00:00:00.000000","Foreign Ministry — UK","Government","https://www.gov.uk/foreign-travel-advice/burkina-faso","2020-03-26 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Movement restrictions","Curfews","No","From 1900 to 0500","Not applicable","2020-03-21 00:00:00.000000","Foreign Ministry — UK","Government","https://www.gov.uk/foreign-travel-advice/burkina-faso","2020-03-26 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Public health measures","Amendments to funeral and burial regulations","No","Public gathering, included burial and funerals, are forbidden.","Not available","2020-03-21 00:00:00.000000","Ministry of Foreign Affairs — France","Government","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/burkina-faso/","2020-03-26 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Limit public gatherings","No","Public gathering, including protest, gathering in bars, restaurants, cinema, clubs or theatres  and religious gathering are forbidden. ","Not applicable","2020-03-21 00:00:00.000000","Ministry of Foreign Affairs — France","Government","https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/burkina-faso/","2020-03-26 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","Ouagadougou, Bobo-Dioulasso, Boromo, Houndé, Dédougou, Banfora, Manga et Zorgho","","Public health measures","Introduction of isolation and quarantine policies","Yes","The city of Ouagadougou, Bobo-Dioulasso, Boromo, Houndé, Dédougou, Banfora, Manga et Zorgho are under quarantine for 2 weeks. Entry to these cities is forbidden, excepted for trade. Any other locality with positive Covid-19 cases will immediately be put in quarantine.","Not available","2020-03-27 00:00:00.000000","Government — Burkina Faso","Government","https://www.gouvernement.gov.bf/recherche/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=321&cHash=ededa6336466be2dfeea3c17b1c1d363","2020-04-01 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Schools closure ","No","Extension of school closure for 2 more weeks, until 14th of April.","Not applicable","2020-03-27 00:00:00.000000","Government — Burkina Faso","Government","https://www.gouvernement.gov.bf/recherche/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=321&cHash=ededa6336466be2dfeea3c17b1c1d363","2020-04-01 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Governance and socio-economic measures","State of emergency declared","No","State of sanitary emergency declared. All restrictions which end during the state of emergency will automatically be renewed for 2 weeks. ","Not applicable","2020-03-26 00:00:00.000000","Government — Burkina Faso","Government","https://www.gouvernement.gov.bf/recherche/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=321&cHash=ededa6336466be2dfeea3c17b1c1d363","2020-04-02 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Governance and socio-economic measures","Economic measures","No","Fund of 177 914 978 612 CFA francs allocated to covid-19 related measures.","Not applicable","2020-04-06 00:00:00.000000","Le Faso","Media","https://lefaso.net/spip.php?page=direct.coronavirus","2020-04-10 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
"Burkina Faso","","","Social distancing","Public services closure ","No","Plenary sittings of the National Assembly are suspended until 1 April 2020.","Not applicable","2020-03-16 00:00:00.000000","Le Faso ","Media","https://lefaso.net/spip.php?article95549","2020-04-21 00:00:00.000000","BF","2020-04-27 00:40:26.851057"
